year_film,year_ceremony,category,name,film,winner
1970,1971,Actress in a leading role,Carrie Snodgress,Diary of a Mad Housewife,False
1970,1971,Actress in a supporting role,Karen Black,Five Easy Pieces,False
1970,1971,Actress in a supporting role,Lee Grant,The Landlord,False
1970,1971,Actress in a supporting role,Helen Hayes,Airport,True
1970,1971,Actress in a supporting role,Sally Kellerman,M*A*S*H,False
1970,1971,Actress in a supporting role,Maureen Stapleton,Airport,False
1970,1971,Production design,"Art Direction:  Alexander Golitzen, E. Preston Ames;  Set Decoration:  Jack D. Moore, Mickey S. Michaels",Airport,False
1970,1971,Production design,Art Direction:  Tambi Larsen;  Set Decoration:  Darrell Silvera,The Molly Maguires,False
1970,1971,Production design,"Art Direction:  Urie McCleary, Gil Parrondo;  Set Decoration:  Antonio Mateos, Pierre-Louis Thevenet",Patton,True
1970,1971,Production design,"Art Direction:  Terry Marsh, Bob Cartwright;  Set Decoration:  Pamela Cornell",Scrooge,False
1970,1971,Production design,"Art Direction:  Jack Martin Smith, Yoshiro Muraki, Richard Day, Taizoh Kawashima;  Set Decoration:  Walter M. Scott, Norman Rockett, Carl Biddiscombe",Tora! Tora! Tora!,False
1970,1971,Cinematography,Ernest Laszlo,Airport,False
1970,1971,Cinematography,Fred Koenekamp,Patton,False
1970,1971,Cinematography,Freddie Young,Ryan's Daughter,True
1970,1971,Cinematography,"Charles F. Wheeler, Osami Furuya, Sinsaku Himeda, Masamichi Satoh",Tora! Tora! Tora!,False
1970,1971,Cinematography,Billy Williams,Women in Love,False
1970,1971,Costume design,Edith Head,Airport,False
1970,1971,Costume design,Nino Novarese,Cromwell,True
1970,1971,Costume design,"Donald Brooks, Jack Bear",Darling Lili,False
1970,1971,Costume design,Bill Thomas,The Hawaiians,False
1970,1971,Costume design,Margaret Furse,Scrooge,False
1970,1971,Director,Federico Fellini,Fellini Satyricon,False
1970,1971,Director,Arthur Hiller,Love Story,False
1970,1971,Director,Robert Altman,M*A*S*H,False
1970,1971,Director,Franklin J. Schaffner,Patton,True
1970,1971,Director,Ken Russell,Women in Love,False
1970,1971,Documentary feature,"Dr. Harald Reinl, Producer",Chariots of the Gods,False
1970,1971,Documentary feature,"Jim Jacobs, Producer",Jack Johnson,False
1970,1971,Documentary feature,"Ely Landau, Producer",King: A Filmed Record...Montgomery to Memphis,False
1970,1971,Documentary feature,"David H. Vowell, Producer",Say Goodbye,False
1970,1971,Documentary feature,"Bob Maurice, Producer",Woodstock,True
1970,1971,Documentary short film,"Robert McBride, Producer",The Gifts,False
1970,1971,Documentary short film,"Joseph Strick, Producer",Interviews with My Lai Veterans,True
1970,1971,Documentary short film,"Bob Aller, Producer",A Long Way from Nowhere,False
